state,year,Leg_Composition,Gov_Name,Gov_Party,state_party
SD,2006,R,Rounds Mike,R,All Republican
SD,2005,R,Rounds Mike,R,All Republican
SD,2004,R,Rounds Mike,R,All Republican
SD,2003,R,Rounds Mike,R,All Republican
SD,2002,R,Janklow William J.,R,All Republican
SD,2001,R,Janklow William J.,R,All Republican
TN,2016,NA,,NA,All Republican
TN,2015,NA,,NA,All Republican
TN,2014,NA,,NA,All Republican
TN,2013,NA,,NA,All Republican
TN,2012,NA,,NA,All Republican
TN,2011,R,Haslam Bill,R,All Republican
TN,2010,R,Bredesen Phil,D,All Republican
TN,2009,R,Bredesen Phil,D,Divided
TN,2008,S,Bredesen Phil,D,Divided
TN,2007,S,Bredesen Phil,D,Divided
TN,2006,S,Bredesen Phil,D,Divided
TN,2005,S,Bredesen Phil,D,Divided
TN,2004,D,Bredesen Phil,D,Divided
TN,2003,D,Bredesen Phil,D,All Democratic
TN,2002,D,Sundquist Don,R,All Democratic
TN,2001,D,Sundquist Don,R,Divided
TX,2016,NA,,NA,All Republican
TX,2015,NA,,NA,All Republican
TX,2014,NA,,NA,All Republican
TX,2013,NA,,NA,All Republican
TX,2012,NA,,NA,All Republican
TX,2011,R,Perry Rick,R,All Republican
TX,2010,R,Perry Rick,R,All Republican
TX,2009,R,Perry Rick,R,All Republican
TX,2008,R,Perry Rick,R,All Republican
TX,2007,R,Perry Rick,R,All Republican
TX,2006,R,Perry Rick,R,All Republican
TX,2005,R,Perry Rick,R,All Republican
TX,2004,R,Perry Rick,R,All Republican
TX,2003,R,Perry Rick,R,All Republican
TX,2002,S,Perry Rick,R,All Republican
TX,2001,S,Perry Rick,R,Divided
UT,2016,NA,,NA,All Republican
UT,2015,NA,,NA,All Republican
UT,2014,NA,,NA,All Republican
UT,2013,NA,,NA,All Republican
UT,2012,NA,,NA,All Republican
UT,2011,R,Herbert Gary,R,All Republican
UT,2010,R,Herbert Gary,R,All Republican
UT,2009,R,Huntsman Jon M. Jr.,R,All Republican
UT,2008,R,Huntsman Jon M. Jr.,R,All Republican
UT,2007,R,Huntsman Jon M. Jr.,R,All Republican
UT,2006,R,Huntsman Jon Jr.,R,All Republican
UT,2005,R,Huntsman Jon Jr.,R,All Republican
UT,2004,R,Walker Olene S.,R,All Republican
UT,2003,R,Leavitt Mike O.,R,All Republican
UT,2002,R,Leavitt Mike O.,R,All Republican
UT,2001,R,Leavitt Mike O.,R,All Republican
VA,2016,NA,,NA,Divided
VA,2015,NA,,NA,Divided
VA,2014,NA,,NA,Divided
VA,2013,NA,,NA,Divided
VA,2012,NA,,NA,Divided
VA,2011,S,McDonnell Bob,R,Divided
VA,2010,S,McDonnell Bob,D,Divided
VA,2009,S,Kaine Tim,D,Divided
VA,2008,S,Kaine Tim,D,Divided
VA,2007,R,Kaine Tim,D,Divided
VA,2006,R,Kaine Tim,D,Divided
VA,2005,R,Warner Mark,D,Divided
VA,2004,R,Warner Mark,D,Divided
VA,2003,R,Warner Mark,D,Divided
VA,2002,R,Warner Mark,D,Divided
VA,2001,R,Gilmore Jame S. III,R,Divided
VT,2016,NA,,NA,All Democratic
VT,2015,NA,,NA,All Democratic
VT,2014,NA,,NA,All Democratic
VT,2013,NA,,NA,All Democratic
VT,2012,NA,,NA,All Democratic
VT,2011,D,Shumlin Peter,D,All Democratic
VT,2010,D,Douglas Jim,R,All Democratic
VT,2009,D,Douglas Jim,R,Divided
VT,2008,D,Douglas Jim,R,Divided
VT,2007,D,Douglas Jim,R,Divided
VT,2006,D,Douglas Jim,R,Divided
VT,2005,D,Douglas Jim,R,Divided
VT,2004,S,Douglas Jim,R,Divided
VT,2003,S,Douglas Jim,R,Divided
VT,2002,S,Dean Howard,D,Divided
VT,2001,S,Dean Howard,D,Divided
WA,2016,NA,,NA,Divided
WA,2015,NA,,NA,Divided
WA,2014,NA,,NA,All Democratic
WA,2013,NA,,NA,All Democratic
WA,2012,NA,,NA,All Democratic
WA,2011,D,Gregoire Christine,D,All Democratic
WA,2010,D,Gregoire Christine,D,All Democratic
WA,2009,D,Gregoire Christine,D,All Democratic
WA,2008,D,Gregoire Christine,D,All Democratic
WA,2007,D,Gregoire Christine,D,All Democratic
WA,2006,D,Gregoire Christine,D,All Democratic
WA,2005,D,Gregoire Christine,D,All Democratic
WA,2004,S,Locke Gary,D,All Democratic
WA,2003,S,Locke Gary,D,Divided
WA,2002,D,Locke Gary,D,Divided
WA,2001,S,Locke Gary,D,All Democratic
WI,2016,NA,,NA,All Republican
WI,2015,NA,,NA,All Republican
WI,2014,NA,,NA,All Republican
WI,2013,NA,,NA,All Republican
WI,2012,NA,,NA,All Republican
WI,2011,R,Walker Scott,R,All Republican
WI,2010,D,Doyle Jim,D,All Republican
WI,2009,D,Doyle Jim,D,All Democratic
WI,2008,S,Doyle Jim,D,All Democratic
WI,2007,S,Doyle Jim,D,Divided
WI,2006,R,Doyle Jim,D,Divided
WI,2005,R,Doyle Jim,D,Divided
WI,2004,R,Doyle Jim,D,Divided
WI,2003,R,Doyle Jim,D,Divided
WI,2002,S,McCallum Scott,R,Divided
WI,2001,S,Switch; thompson then McCallum,R,Divided
WV,2016,NA,,NA,Divided
WV,2015,NA,,NA,Divided
WV,2014,NA,,NA,All Democratic
WV,2013,NA,,NA,All Democratic
WV,2012,NA,,NA,All Democratic
WV,2011,D,Tomblin Earl Ray,D,All Democratic
WV,2010,D,Manchin Joe III,D,All Democratic
WV,2009,D,Manchin Joe III,D,All Democratic
WV,2008,D,Manchin Joe III,D,All Democratic
WV,2007,D,Manchin Joe III,D,All Democratic
WV,2006,D,Manchin Joe III,D,All Democratic
WV,2005,D,Manchin Joe III,D,All Democratic
WV,2004,D,Wise Bob,D,All Democratic
WV,2003,D,Wise Bob,D,All Democratic
WV,2002,D,Wise Bob,D,All Democratic
WV,2001,D,Wise Bob,D,All Democratic
WY,2016,NA,,NA,All Republican
WY,2015,NA,,NA,All Republican
WY,2014,NA,,NA,All Republican
WY,2013,NA,,NA,All Republican
WY,2012,NA,,NA,All Republican
WY,2011,R,Mead Matthew,R,All Republican
WY,2010,R,Freudenthal Dave,D,All Republican
WY,2009,R,Freudenthal Dave,D,Divided
WY,2008,R,Freudenthal Dave,D,Divided
WY,2007,R,Freudenthal Dave,D,Divided
WY,2006,R,Freudenthal Dave,D,Divided
WY,2005,R,Freudenthal Dave,D,Divided
WY,2004,R,Freudenthal Dave,D,Divided
WY,2003,R,Freudenthal Dave,D,Divided
WY,2002,R,Geringer Jim,R,Divided
WY,2001,R,Geringer Jim,R,All Republican
